spec,channel,placed,sigma_block,q,refire,yield_exact,misaddr_rate,p_bsc,accept_rate,anchor_density_per100,collision_rate,entropy_bits,rank_fraction
D20:alnum/w2/left,clean,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,recase,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,repunctuate,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,crop-50,105,0.4571,0.9583,0.0,0.4381,0.0,0.0,0.4381,5.463,0.0952,3.87,0.9348
D20:alnum/w2/left,crop-20,105,0.2476,1.0,0.0,0.2476,0.0,0.0,0.2476,5.463,0.0952,3.87,0.9615
D20:alnum/w2/left,frag-5x-30,105,0.3238,0.9118,0.0,0.2952,0.0,0.0,0.2952,5.463,0.0952,3.87,0.9355
D20:alnum/w2/left,frag-20x-30,105,0.2286,0.5417,0.0,0.1238,0.0,0.0,0.1238,5.463,0.0952,3.87,1.0
D20:alnum/w2/left,delsent-20,105,0.6286,0.9848,1.0,0.619,0.01515,0.00758,0.6286,5.463,0.0952,3.87,0.9231
D20:alnum/w2/left,delsent-50,105,0.5238,0.9636,0.0,0.5048,0.0,0.0,0.5048,5.463,0.0952,3.87,0.9434
D20:alnum/w2/left,reorder-paras,105,0.9905,1.0,0.0,0.9905,0.0,0.0,0.9905,5.463,0.0952,3.87,0.9038
D20:alnum/w2/left,splice-30,105,1.0,0.981,0.0,0.981,0.0,0.0,0.981,5.463,0.0952,3.87,0.9029
D20:alnum/w2/left,reword-05,105,1.0,0.9619,0.0,0.9619,0.0,0.0,0.9619,5.463,0.0952,3.87,0.901
D20:alnum/w2/left,reword-10,105,1.0,0.8476,0.125,0.8476,0.02198,0.01099,0.8667,5.463,0.0952,3.87,0.9326
D20:alnum/w2/left,reword-25,105,1.0,0.781,0.0,0.781,0.0,0.0,0.781,5.463,0.0952,3.87,0.9512
D20:alnum/w2/left,typo-05,105,1.0,0.9429,0.0,0.9429,0.0,0.0,0.9429,5.463,0.0952,3.87,0.9293
D20:alnum/w2/left,thin-01,105,0.9714,1.0,0.0,0.9714,0.0,0.0,0.9714,5.463,0.0952,3.87,0.9118
D20:alnum/w2/left,thin-10,105,0.9048,1.0,0.0,0.9048,0.0,0.0,0.9048,5.463,0.0952,3.87,0.9158
D20:alnum/w2/left,synthA-frag3-rw10-sp20,105,0.3143,1.0,0.0,0.3143,0.0,0.0,0.3143,5.463,0.0952,3.87,1.0
D20:alnum/w2/left,synthB-frag10-rw25-ty5-th5,105,0.2667,0.6786,0.1111,0.181,0.05,0.025,0.1905,5.463,0.0952,3.87,0.9474
D20:alnum/w4/left,clean,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,recase,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,repunctuate,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,crop-50,95,0.4737,1.0,0.0,0.4737,0.0,0.0,0.4737,4.943,0.0,3.95,1.0
D20:alnum/w4/left,crop-20,95,0.2526,0.875,0.0,0.2211,0.0,0.0,0.2211,4.943,0.0,3.95,1.0
D20:alnum/w4/left,frag-5x-30,95,0.2421,0.7391,0.0,0.1789,0.0,0.0,0.1789,4.943,0.0,3.95,1.0
D20:alnum/w4/left,frag-20x-30,95,0.2947,0.1786,0.087,0.0526,0.28571,0.14286,0.0737,4.943,0.0,3.95,1.0
D20:alnum/w4/left,delsent-20,95,0.8,1.0,0.0,0.8,0.0,0.0,0.8,4.943,0.0,3.95,1.0
D20:alnum/w4/left,delsent-50,95,0.5895,0.9107,0.0,0.5368,0.0,0.0,0.5368,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reorder-paras,95,1.0,0.9684,0.0,0.9684,0.0,0.0,0.9684,4.943,0.0,3.95,1.0
D20:alnum/w4/left,splice-30,95,1.0,0.9474,0.0,0.9474,0.0,0.0,0.9474,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-05,95,1.0,0.8842,0.0,0.8842,0.0,0.0,0.8842,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-10,95,1.0,0.8211,0.0588,0.8211,0.01266,0.00633,0.8316,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-25,95,1.0,0.5474,0.0233,0.5474,0.01887,0.00943,0.5579,4.943,0.0,3.95,1.0
D20:alnum/w4/left,typo-05,95,1.0,0.9053,0.0,0.9053,0.0,0.0,0.9053,4.943,0.0,3.95,1.0
D20:alnum/w4/left,thin-01,95,0.9895,1.0,0.0,0.9895,0.0,0.0,0.9895,4.943,0.0,3.95,1.0
D20:alnum/w4/left,thin-10,95,0.8526,1.0,0.0,0.8526,0.0,0.0,0.8526,4.943,0.0,3.95,1.0
D20:alnum/w4/left,synthA-frag3-rw10-sp20,95,0.3789,0.75,0.1111,0.2842,0.03571,0.01786,0.2947,4.943,0.0,3.95,1.0
D20:alnum/w4/left,synthB-frag10-rw25-ty5-th5,95,0.2421,0.3913,0.0,0.0947,0.0,0.0,0.0947,4.943,0.0,3.95,1.0
D20:alnum/w8/left,clean,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,recase,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,repunctuate,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,crop-50,92,0.587,0.9815,0.0,0.5761,0.0,0.0,0.5761,4.787,0.0,3.88,1.0
D20:alnum/w8/left,crop-20,92,0.1848,0.8235,0.0,0.1522,0.0,0.0,0.1522,4.787,0.0,3.88,1.0
D20:alnum/w8/left,frag-5x-30,92,0.3043,0.75,0.0,0.2283,0.0,0.0,0.2283,4.787,0.0,3.88,1.0
D20:alnum/w8/left,frag-20x-30,92,0.2391,0.2273,0.1176,0.0543,0.28571,0.14286,0.0761,4.787,0.0,3.88,1.0
D20:alnum/w8/left,delsent-20,92,0.8152,0.92,0.0,0.75,0.0,0.0,0.75,4.787,0.0,3.88,1.0
D20:alnum/w8/left,delsent-50,92,0.4891,0.6889,0.0,0.337,0.0,0.0,0.337,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reorder-paras,92,1.0,0.9457,0.0,0.9457,0.0,0.0,0.9457,4.787,0.0,3.88,1.0
D20:alnum/w8/left,splice-30,92,1.0,0.8913,0.0,0.8913,0.0,0.0,0.8913,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-05,92,1.0,0.7826,0.1,0.7826,0.02703,0.01351,0.8043,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-10,92,1.0,0.7609,0.0,0.7609,0.0,0.0,0.7609,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-25,92,1.0,0.337,0.0328,0.337,0.06061,0.0303,0.3587,4.787,0.0,3.88,1.0
D20:alnum/w8/left,typo-05,92,1.0,0.6957,0.0714,0.6957,0.0303,0.01515,0.7174,4.787,0.0,3.88,1.0
D20:alnum/w8/left,thin-01,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,thin-10,92,0.9022,1.0,0.0,0.9022,0.0,0.0,0.9022,4.787,0.0,3.88,1.0
D20:alnum/w8/left,synthA-frag3-rw10-sp20,92,0.337,0.6452,0.0,0.2174,0.0,0.0,0.2174,4.787,0.0,3.88,1.0
D20:alnum/w8/left,synthB-frag10-rw25-ty5-th5,92,0.2174,0.05,0.1053,0.0109,0.66667,0.33333,0.0326,4.787,0.0,3.88,1.0
D20:alnum/w16/left,clean,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,recase,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,repunctuate,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,crop-50,99,0.4141,0.878,0.0,0.3636,0.0,0.0,0.3636,5.151,0.0,4.0,1.0
D20:alnum/w16/left,crop-20,99,0.2121,0.6667,0.0,0.1414,0.0,0.0,0.1414,5.151,0.0,4.0,1.0
D20:alnum/w16/left,frag-5x-30,99,0.3232,0.4688,0.0,0.1515,0.0,0.0,0.1515,5.151,0.0,4.0,1.0
D20:alnum/w16/left,frag-20x-30,99,0.2525,0.0,0.08,0.0,1.0,0.5,0.0202,5.151,0.0,4.0,0.0
D20:alnum/w16/left,delsent-20,99,0.7374,0.7945,0.0,0.5859,0.0,0.0,0.5859,5.151,0.0,4.0,1.0
D20:alnum/w16/left,delsent-50,99,0.5354,0.6226,0.0,0.3333,0.0,0.0,0.3333,5.151,0.0,4.0,1.0
D20:alnum/w16/left,reorder-paras,99,1.0,0.8485,0.0,0.8485,0.0,0.0,0.8485,5.151,0.0,4.0,1.0
